Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
married,Holders of other higher courses,1,female,33.0,9147,Management,daytime,Higher education - degree,110.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,110.0,no,no,no,yes,no,no,5,8,10,6,12.83333333,0,2,5,8,4,12.0,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,2,female,19.0,9853,Basic Education,daytime,Secondary education,150.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",142.0,yes,no,no,yes,yes,no,0,6,8,6,12.33333333,0,0,6,7,5,12.4,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,male,33.0,9991,Management (evening attendance),evening,Secondary education,133.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",139.2,yes,no,yes,yes,no,no,0,5,11,2,12.5,0,0,5,9,2,11.5,1,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,2,female,19.0,9773,Journalism and Communication,daytime,Secondary education,132.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Unskilled Workers,Intermediate Level Technicians and Professions,128.2,yes,no,no,yes,yes,no,0,6,7,6,12.33333333,0,0,6,6,6,13.5,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,4,female,18.0,9773,Journalism and Communication,daytime,Secondary education,124.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unknown,Other Situation,124.0,no,no,no,no,no,no,0,4,4,0,0.0,0,0,4,4,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,female,20.0,9238,Social Service,daytime,Secondary education,105.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",106.1,yes,no,no,yes,no,no,0,6,6,6,11.5,0,0,6,7,6,13.28571429,0,11.1,0.6,2.02,Graduate
married,Over 23 years old,1,female,46.0,9991,Management (evening attendance),evening,Secondary education,110.0,Portuguese,Unknown,Unknown,Student,Student,114.6,yes,no,no,yes,no,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,3rd phase - general contingent,1,female,20.0,9500,Nursing,daytime,Secondary education,143.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,116.5,yes,no,no,yes,yes,no,0,7,10,7,12.625,0,0,8,8,8,13.0625,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,2,female,18.0,9070,Communication Design,daytime,Secondary education,124.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,123.7,yes,no,no,yes,yes,no,1,6,8,6,12.71428571,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,4,female,18.0,9500,Nursing,daytime,Secondary education,144.0,Portuguese,Higher Education - Bachelor's Degree,Technological specialization course,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,129.0,yes,no,no,yes,no,no,0,7,8,7,12.65,0,0,8,9,8,13.41111111,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,3,male,18.0,9500,Nursing,daytime,Secondary education,141.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,126.8,yes,no,no,yes,no,no,0,8,8,8,13.24875,0,0,8,8,8,13.24875,0,9.4,-0.8,-3.12,Graduate
single,Technological specialization diploma holders,1,female,19.0,9070,Communication Design,daytime,Secondary education,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,144.3,yes,no,no,yes,no,no,2,7,7,7,13.0,0,5,9,9,9,13.22222222,0,12.4,0.5,1.79,Graduate
married,Over 23 years old,1,male,52.0,9991,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,118.2,no,no,no,yes,no,no,0,5,7,5,11.2,0,0,5,6,5,12.8,1,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,1,male,26.0,9003,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,"Intermediate level technicians from legal, social, sports, cultural and similar services",140.0,yes,no,yes,yes,no,no,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled
single,Change of institution/course,1,female,22.0,9085,Veterinary Nursing,daytime,Secondary education,125.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,120.0,no,no,no,yes,no,no,0,6,8,6,14.83333333,0,0,6,10,5,13.83333333,0,11.1,0.6,2.02,Graduate
single,Change of institution/course,1,female,22.0,8014,Social Service (evening attendance),evening,Secondary education,121.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",112.3,no,no,no,yes,no,no,14,16,16,13,10.92307692,0,13,13,13,11,11.45454545,0,16.2,0.3,-0.92,Graduate
married,Holders of other higher courses,1,female,29.0,9130,Equinculture,daytime,Higher education - degree,140.0,Portuguese,Higher Education (Doctorate),Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Student,140.0,no,no,yes,no,no,no,7,9,16,7,11.55555556,4,5,7,12,5,13.2,2,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,female,18.0,9238,Social Service,daytime,Secondary education,132.0,Portuguese,Unknown,Unknown,Student,Student,119.1,yes,no,no,yes,no,no,0,6,9,4,11.0,0,0,6,9,4,10.75,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,female,19.0,9773,Journalism and Communication,daytime,Secondary education,143.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",144.8,no,no,no,yes,no,no,0,6,6,6,12.16666667,0,0,6,6,6,12.5,0,16.2,0.3,-0.92,Enrolled
single,2nd phase - general contingent,1,female,20.0,9670,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",113.0,yes,no,no,yes,no,no,0,5,7,4,12.2,0,0,5,5,4,11.5,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,5,female,20.0,9500,Nursing,daytime,Secondary education,118.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,113.5,yes,no,no,yes,no,no,0,7,7,7,14.30714286,0,0,8,8,8,15.0125,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,140.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,146.4,no,no,no,yes,no,no,0,5,5,5,12.6,0,0,5,7,5,11.6,0,7.6,2.6,0.32,Graduate
married,Holders of other higher courses,1,male,37.0,9130,Equinculture,daytime,Higher education - bachelor's degree,110.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,110.0,yes,no,no,yes,no,no,0,6,9,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,3,female,18.0,9070,Communication Design,daytime,Secondary education,132.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",124.3,no,yes,no,yes,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,2,female,18.0,9853,Basic Education,daytime,Secondary education,124.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,118.1,yes,no,no,no,no,no,0,6,11,3,13.0,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Dropout
single,1st phase - special contingent,1,male,19.0,171,Animation and Multimedia Design,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,134.6,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,1,female,29.0,9853,Basic Education,daytime,Secondary education,150.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Administrative staff,135.0,no,no,no,yes,no,no,2,8,10,7,11.14285714,0,2,8,11,8,11.375,0,12.7,3.7,-1.7,Graduate
single,Holders of other higher courses,1,female,27.0,9238,Social Service,daytime,Higher education - degree,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,125.1,no,no,yes,no,no,no,0,6,8,0,0.0,0,0,5,6,0,0.0,0,16.2,0.3,-0.92,Dropout
single,International student (bachelor),1,male,21.0,171,Animation and Multimedia Design,daytime,Secondary education,130.0,Santomean,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Unskilled Workers,130.0,no,no,no,yes,no,yes,6,12,12,12,15.08333333,0,4,11,15,11,13.08333333,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,4,female,19.0,9085,Veterinary Nursing,daytime,Secondary education,135.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,132.6,yes,no,no,yes,yes,no,0,5,5,5,13.6,0,0,5,5,5,14.6,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,2,female,19.0,9500,Nursing,daytime,Secondary education,126.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",118.7,yes,no,no,yes,no,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,Technological specialization diploma holders,1,male,20.0,9119,Informatics Engineering,daytime,Technological specialization course,180.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,180.0,no,no,no,yes,yes,no,3,7,12,6,14.14285714,0,1,6,10,6,14.125,0,12.4,0.5,1.79,Enrolled
single,Over 23 years old,1,female,28.0,9003,Agronomy,daytime,Secondary education,135.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.1,no,no,yes,no,no,no,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,2,female,18.0,9500,Nursing,daytime,Secondary education,137.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.8,yes,no,no,yes,yes,no,0,8,8,7,14.65428571,0,0,8,8,7,14.65428571,0,10.8,1.4,1.74,Graduate
married,Change of course,1,female,34.0,9238,Social Service,daytime,11th year of schooling,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,134.4,no,no,no,yes,no,no,9,16,20,14,12.07142857,1,11,13,13,11,12.27272727,0,7.6,2.6,0.32,Graduate
single,Change of course,1,male,24.0,9130,Equinculture,daytime,Secondary education,156.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,156.0,no,no,yes,no,no,no,0,6,11,5,11.83333333,0,0,6,11,4,11.5,0,15.5,2.8,-4.06,Dropout
married,Holders of other higher courses,1,female,30.0,8014,Social Service (evening attendance),evening,Higher education - degree,124.4,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Unknown,Student,Student,130.0,no,no,no,yes,no,no,8,10,11,9,12.66666667,0,3,7,7,7,12.42857143,1,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,1,male,19.0,9130,Equinculture,daytime,Secondary education,125.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,131.0,yes,no,no,yes,no,no,0,5,11,2,10.5,2,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,female,25.0,8014,Social Service (evening attendance),evening,Secondary education,120.0,Moldova (Republic of),Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",119.5,no,no,yes,yes,no,yes,2,6,6,6,11.33333333,0,0,6,6,4,11.75,0,8.9,1.4,3.51,Enrolled
single,Over 23 years old,1,female,58.0,8014,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,no,no,0,6,14,5,12.4,0,0,6,10,5,11.6,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,5,female,19.0,9773,Journalism and Communication,daytime,Secondary education,122.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",123.1,yes,no,no,no,no,no,0,6,12,3,11.0,0,0,6,12,3,12.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,male,34.0,9991,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,no,no,no,yes,no,no,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,4,male,18.0,9500,Nursing,daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",126.4,yes,no,no,yes,yes,no,0,7,7,7,13.46285714,0,0,8,8,8,13.90625,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,4,female,19.0,9500,Nursing,daytime,Secondary education,118.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,110.0,yes,no,no,yes,no,no,0,7,12,4,12.85,0,0,7,7,7,12.62142857,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,2,male,25.0,9070,Communication Design,daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,119.3,yes,yes,no,yes,yes,no,0,6,8,4,10.25,0,0,6,6,4,11.25,0,12.7,3.7,-1.7,Dropout
single,Change of course,1,female,28.0,9238,Social Service,daytime,Secondary education,149.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130.5,yes,no,no,yes,no,no,8,11,11,9,11.66666667,0,8,11,13,9,12.55555556,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,20.0,9773,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.8,yes,no,no,yes,yes,no,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
single,Change of course,1,female,26.0,8014,Social Service (evening attendance),evening,Higher education - degree,133.1,Portuguese,Incomplete Education,Incomplete Education,Administrative staff,Other Situation,130.0,no,no,no,yes,no,no,8,11,16,10,11.8,0,3,7,7,7,13.28571429,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,3,female,19.0,9070,Communication Design,daytime,Secondary education,139.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",142.2,yes,no,no,yes,yes,no,0,6,6,6,12.83333333,0,0,6,6,6,12.83333333,0,9.4,-0.8,-3.12,Graduate
single,3rd phase - general contingent,1,female,19.0,9147,Management,daytime,Secondary education,160.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,137.6,yes,no,no,yes,yes,no,0,5,6,5,12.6,0,0,5,8,5,11.25,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,2,female,19.0,8014,Social Service (evening attendance),evening,Secondary education,133.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",119.7,yes,no,no,yes,yes,no,0,6,10,4,11.5,0,0,6,11,6,11.5,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,3,female,18.0,9853,Basic Education,daytime,Secondary education,118.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.2,yes,no,no,yes,no,no,0,6,8,5,13.4,0,0,6,7,5,12.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,6,female,18.0,9500,Nursing,daytime,Secondary education,137.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",126.3,yes,no,no,yes,yes,no,0,8,8,8,13.42375,0,0,8,8,8,13.42375,0,9.4,-0.8,-3.12,Graduate
single,Technological specialization diploma holders,1,male,22.0,9238,Social Service,daytime,Technological specialization course,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,138.6,no,no,no,yes,no,no,3,6,7,6,12.33333333,0,2,6,6,2,14.0,0,13.9,-0.3,0.79,Dropout
married,Transfer,1,female,32.0,9500,Nursing,daytime,Higher education - bachelor's degree,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.0,no,no,no,yes,yes,no,0,8,8,8,14.6625,0,0,8,8,8,14.6625,0,9.4,-0.8,-3.12,Graduate
single,Over 23 years old,1,female,27.0,9991,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",150.0,no,no,no,yes,no,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,female,24.0,9773,Journalism and Communication,daytime,Secondary education,151.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",138.4,yes,no,no,yes,yes,no,0,6,7,6,13.66666667,0,0,6,6,6,12.83333333,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,3,female,19.0,9500,Nursing,daytime,Secondary education,133.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",130.8,yes,no,no,yes,no,no,0,8,8,8,13.4275,0,0,8,8,8,13.4275,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,1,male,35.0,8014,Social Service (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,140.0,no,no,no,no,no,no,0,6,6,6,14.0,0,0,6,6,6,14.16666667,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,3,female,18.0,9238,Social Service,daytime,Secondary education,131.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Technological specialization course,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,122.6,yes,no,no,yes,no,no,0,6,7,6,13.0,0,0,6,6,6,13.66666667,0,12.4,0.5,1.79,Graduate
single,Holders of other higher courses,1,female,22.0,9085,Veterinary Nursing,daytime,Higher education - degree,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,130.0,yes,no,no,yes,no,no,0,6,7,6,17.0,0,0,6,7,6,16.28571429,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,female,19.0,9500,Nursing,daytime,Secondary education,144.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Armed Forces Professions,137.4,no,no,no,yes,no,no,0,7,7,7,13.54285714,0,0,8,9,8,14.22222222,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,female,18.0,9853,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",124.6,yes,no,no,yes,yes,no,0,6,8,5,13.0,0,0,6,9,5,13.5,0,9.4,-0.8,-3.12,Graduate
single,Over 23 years old,1,female,24.0,9991,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,140.9,no,yes,no,yes,no,no,0,5,7,3,10.66666667,0,0,5,7,3,10.5,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,139.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,130.6,no,no,no,yes,no,no,0,5,12,5,12.8,2,0,5,10,5,11.85714286,1,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,4,male,21.0,171,Animation and Multimedia Design,daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,117.0,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,female,20.0,9238,Social Service,daytime,Secondary education,120.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113.0,yes,no,no,yes,yes,no,0,6,7,6,11.71428571,0,0,6,8,6,12.625,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,female,22.0,9853,Basic Education,daytime,Secondary education,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,95.0,yes,no,yes,no,no,no,0,7,10,6,11.5,0,0,7,8,6,13.16666667,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,1,female,19.0,9254,Tourism,daytime,Secondary education,158.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,138.1,yes,no,no,yes,no,no,0,6,8,4,12.5,0,0,6,11,1,14.0,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,1,male,18.0,9147,Management,daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",115.8,yes,no,no,yes,no,no,0,5,5,5,13.4,0,0,5,6,5,12.2,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,1,female,18.0,9500,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,128.6,yes,no,no,yes,no,no,0,7,7,7,14.72857143,0,0,8,11,8,16.32727273,0,16.2,0.3,-0.92,Graduate
